COD_DANE_A,MPIO_CDPMP,CLAS_CCDGO,TVIVIENDA,TP16_HOG,TP19_EE_1,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP27_PERSO,area_ha,medidores,med_residencial,med_comercial,med_industrial,med_dentro,med_cercano,med_ambiguo,med_dir,consumo_prom,consumo_mediana,estrato_moda,med_estrato1,med_estrato2,med_estrato3,med_estrato4,med_estrato5,med_estrato6,med_x_vivienda,med_x_ha
0507910000000000010102,05079,1,112.0,106.0,106.0,1.0,102.0,2.0,1.0,0.0,0.0,338.0,0.4025840060172409,86.0,86.0,0.0,0.0,64.0,22.0,0.0,0.0,135.8,129.5,2.0,0.0,86.0,0.0,0.0,0.0,0.0,0.77,213.6
0507910000000000010103,05079,1,109.0,105.0,105.0,0.0,104.0,0.0,0.0,0.0,0.0,289.0,0.5970978142807766,147.0,139.0,3.0,0.0,103.0,44.0,0.0,0.0,150.4,133.5,2.0,0.0,139.0,0.0,0.0,0.0,0.0,1.35,246.2
0507910000000000010104,05079,1,269.0,261.0,261.0,0.0,208.0,50.0,2.0,1.0,0.0,810.0,0.7912749417367217,231.0,217.0,14.0,0.0,177.0,54.0,2.0,2.0,140.0,125.1,2.0,0.0,145.0,72.0,0.0,0.0,0.0,0.86,291.9
0507910000000000010107,05079,1,28.0,25.0,25.0,0.0,7.0,17.0,1.0,0.0,0.0,83.0,0.23184732984963793,61.0,43.0,16.0,1.0,56.0,5.0,0.0,0.0,155.7,144.4,3.0,0.0,0.0,43.0,0.0,0.0,0.0,2.18,263.1
0507910000000000010108,05079,1,48.0,48.0,48.0,1.0,34.0,12.0,1.0,0.0,0.0,141.0,0.2359819525350099,50.0,38.0,10.0,2.0,50.0,0.0,0.0,0.0,227.5,181.8,3.0,0.0,3.0,35.0,0.0,0.0,0.0,1.04,211.9
0507910000000000010109,05079,1,65.0,64.0,64.0,11.0,38.0,12.0,0.0,0.0,0.0,130.0,0.18829589322996682,55.0,48.0,7.0,0.0,49.0,6.0,0.0,0.0,134.8,118.5,3.0,0.0,14.0,34.0,0.0,0.0,0.0,0.85,292.1
0507910000000000010110,05079,1,28.0,28.0,28.0,0.0,10.0,18.0,0.0,0.0,0.0,77.0,0.19771800653518823,44.0,33.0,11.0,0.0,43.0,1.0,0.0,0.0,181.0,176.4,3.0,0.0,0.0,33.0,0.0,0.0,0.0,1.57,222.5
0507910000000000010111,05079,1,42.0,38.0,38.0,0.0,1.0,37.0,0.0,0.0,0.0,118.0,0.2541375164893989,57.0,43.0,14.0,0.0,57.0,0.0,0.0,0.0,180.7,124.2,3.0,0.0,0.0,43.0,0.0,0.0,0.0,1.36,224.3
0507910000000000010112,05079,1,69.0,65.0,62.0,1.0,17.0,43.0,0.0,0.0,0.0,176.0,0.23246381327265184,60.0,53.0,7.0,0.0,22.0,38.0,0.0,0.0,155.1,133.3,3.0,0.0,11.0,42.0,0.0,0.0,0.0,0.87,258.1
0507910000000000010114,05079,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25410209955457114,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,257.7,257.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.9
0507910000000000010115,05079,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719889845151766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0507910000000000010116,05079,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09986693868134741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0507910000000000010117,05079,1,110.0,108.0,107.0,50.0,54.0,3.0,0.0,0.0,0.0,288.0,0.35203488641089264,86.0,71.0,13.0,2.0,79.0,7.0,0.0,0.0,122.3,112.6,2.0,0.0,71.0,0.0,0.0,0.0,0.0,0.78,244.3
0507910000000000010201,05079,1,21.0,16.0,16.0,10.0,6.0,0.0,0.0,0.0,0.0,50.0,0.1675395768838515,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,97.7,97.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,11.9
0507910000000000010202,05079,1,15.0,15.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,39.0,0.04352712992684738,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,218.2,218.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,45.9
0507910000000000010203,05079,1,18.0,17.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,44.0,0.02612174163537139,5.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,125.0,120.5,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.28,191.4
0507910000000000010204,05079,1,19.0,19.0,19.0,15.0,4.0,0.0,0.0,0.0,0.0,66.0,0.087791733702033,31.0,31.0,0.0,0.0,14.0,17.0,2.0,0.0,117.9,121.3,2.0,1.0,30.0,0.0,0.0,0.0,0.0,1.63,353.1
0507910000000000010205,05079,1,28.0,29.0,28.0,0.0,27.0,1.0,0.0,0.0,0.0,82.0,0.08109764556890402,52.0,52.0,0.0,0.0,44.0,8.0,0.0,0.0,102.1,90.0,2.0,0.0,52.0,0.0,0.0,0.0,0.0,1.86,641.2
0507910000000000010206,05079,1,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,49.0,0.06648148142455668,11.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,90.1,89.8,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.69,165.5
0507910000000000010207,05079,1,20.0,18.0,18.0,0.0,17.0,0.0,0.0,0.0,0.0,51.0,0.19159215697565377,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,156.7,156.7,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.15,15.7
0507910000000000010208,05079,1,68.0,67.0,67.0,0.0,54.0,13.0,0.0,0.0,0.0,200.0,0.25677379124606564,67.0,57.0,10.0,0.0,60.0,7.0,0.0,0.0,137.4,119.9,2.0,0.0,43.0,14.0,0.0,0.0,0.0,0.99,260.9
0507910000000000010209,05079,1,15.0,14.0,14.0,0.0,1.0,13.0,0.0,0.0,0.0,38.0,0.2593003101856377,23.0,14.0,9.0,0.0,18.0,5.0,1.0,0.0,182.7,145.2,2.0,0.0,8.0,6.0,0.0,0.0,0.0,1.53,88.7
